customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,num_support_tickets,avg_monthly_usage_gb,churn
CUST-000020,Female,0,No,Yes,17,Yes,Yes,DSL,No,No,No internet service,Yes,Two year,No,Credit card,70.83,1114.13,1,62.0,0
CUST-000021,Female,0,Yes,No,33,Yes,Yes,No,No internet service,No,No,No,One year,No,Bank transfer,82.05,2832.19,2,307.8,1
CUST-000022,Female,0,No,Yes,55,No,No,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,74.53,3861.68,0,101.5,0
CUST-000023,Male,0,No,Yes,49,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,One year,Yes,Bank transfer,112.69,5110.45,0,62.8,0
CUST-000024,Female,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,81.68,2852.78,1,213.5,1
CUST-000025,Male,0,No,Yes,7,Yes,No,Fiber optic,No,Yes,No,No internet service,One year,No,Mailed check,60.82,423.12,1,236.3,0
CUST-000026,Male,0,No,No,20,Yes,Yes,DSL,No,No,Yes,No,Month-to-month,No,Electronic check,97.21,1996.09,1,200.9,1
CUST-000027,Male,0,No,Yes,24,Yes,No,DSL,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,115.15,2896.64,1,200.6,1
CUST-000028,Female,0,No,Yes,14,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Month-to-month,No,Credit card,62.24,825.41,2,219.2,1
CUST-000029,Female,0,Yes,No,5,Yes,No,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer,75.38,355.04,0,175.2,0
CUST-000030,Male,0,No,No,34,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,One year,No,Electronic check,81.53,2539.46,1,106.9,0
CUST-000031,Male,0,No,Yes,50,No,Yes,No,No internet service,Yes,Yes,Yes,One year,No,Credit card,96.5,4853.14,2,83.6,0
CUST-000032,Female,0,No,Yes,23,Yes,No,No,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer,77.4,1746.57,1,214.5,0
CUST-000033,Female,0,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,194.82,9886.74,4,226.2,1
CUST-000034,Male,0,No,No,9,No,No,Fiber optic,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,85.96,737.8,2,257.5,1
CUST-000035,Male,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Bank transfer,141.12,1634.88,1,120.1,0
CUST-000036,Male,0,No,Yes,33,Yes,No phone service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,119.04,3884.28,3,278.4,1
CUST-000037,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,111.01,2099.04,1,348.6,1
CUST-000038,Female,0,No,No,47,Yes,No,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer,71.11,3074.6,2,175.4,1
CUST-000039,Female,0,Yes,No,42,Yes,Yes,DSL,No,No,Yes,No internet service,Month-to-month,Yes,Credit card,72.85,2642.25,1,45.0,1
CUST-000040,Female,0,No,No,22,Yes,No,DSL,No,Yes,No internet service,No,Month-to-month,Yes,Credit card,70.31,1382.74,2,75.8,1
CUST-000041,Male,0,Yes,Yes,10,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,104.0,924.53,2,128.6,1
CUST-000042,Male,0,No,Yes,20,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,One year,Yes,Credit card,68.82,1372.37,0,0.0,1
CUST-000043,Female,0,No,No,43,Yes,No,DSL,No,No internet service,Yes,Yes,One year,No,Bank transfer,65.17,2771.21,1,189.5,0
CUST-000044,Male,1,Yes,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,No,One year,Yes,Credit card,86.53,3977.66,1,215.9,0
CUST-000045,Female,0,Yes,Yes,21,No,No,Fiber optic,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,43.21,841.62,0,209.9,0
CUST-000046,Female,1,No,No,5,No,No,Fiber optic,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,120.77,620.67,0,51.8,0
CUST-000047,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,No,Credit card,126.89,1172.61,1,3.3,1
CUST-000048,Male,0,No,No,40,Yes,Yes,DSL,No internet service,No,Yes,No,One year,No,Bank transfer,50.97,1978.93,1,241.8,0
CUST-000049,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Month-to-month,Yes,Credit card,125.9,2718.89,1,375.8,1
CUST-000050,Female,0,No,Yes,22,Yes,Yes,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,22.49,499.38,0,307.7,1
CUST-000051,Male,0,Yes,Yes,13,No,Yes,Fiber optic,No,No,No internet service,Yes,One year,Yes,Mailed check,95.72,1237.57,2,177.4,1
CUST-000052,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,Yes,Yes,One year,No,Mailed check,66.21,770.36,1,101.3,0
CUST-000053,Male,0,Yes,No,54,Yes,Yes,No,No,No,No,No,One year,No,Bank transfer,72.63,3728.68,2,128.7,0
CUST-000054,Female,0,Yes,No,41,Yes,No,DSL,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer,72.48,2616.07,1,225.2,0
CUST-000055,Female,0,No,No,18,Yes,Yes,No,No,No,No internet service,Yes,Two year,Yes,Electronic check,67.69,1232.87,3,128.4,0
CUST-000056,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Two year,No,Bank transfer,83.37,2616.29,0,148.3,0
CUST-000057,Male,0,No,Yes,36,Yes,No,Fiber optic,Yes,Yes,Yes,No,One year,No,Mailed check,91.74,3453.92,0,174.4,0
CUST-000058,Male,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,No internet service,Yes,Two year,No,Credit card,110.9,7004.87,1,285.6,0
CUST-000059,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Two year,No,Credit card,77.64,886.97,2,298.7,0
CUST-000060,Female,0,Yes,No,35,Yes,No,DSL,No internet service,No,No,No,Month-to-month,No,Bank transfer,137.66,4793.06,1,310.8,0
CUST-000061,Female,0,Yes,No,54,Yes,No,DSL,Yes,Yes,No,No,One year,Yes,Mailed check,50.95,2815.6,1,64.4,0
CUST-000062,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer,102.2,7510.7,2,155.2,0
CUST-000063,Female,0,No,No,17,Yes,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Credit card,87.14,1318.96,0,216.2,1
CUST-000064,Male,0,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,86.25,1985.6,1,130.2,0
CUST-000065,Male,0,Yes,No,47,Yes,No,DSL,Yes,No,Yes,No,Month-to-month,No,Credit card,111.47,5481.54,1,126.8,0
CUST-000066,Male,1,No,Yes,7,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,111.36,813.65,3,319.5,1
CUST-000067,Female,1,Yes,No,38,Yes,No,DSL,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,63.85,2360.23,1,393.6,0
CUST-000068,Female,1,No,No,72,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,No,Credit card,136.14,9962.56,2,98.7,0
CUST-000069,Male,0,No,No,41,Yes,Yes,No,No,No,No,No,One year,No,Electronic check,39.54,1402.45,2,104.5,0
CUST-000070,Female,0,Yes,Yes,3,No,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,53.04,143.37,2,79.9,0
CUST-000071,Female,0,Yes,No,15,Yes,No,DSL,No,No,No,No internet service,Two year,Yes,Electronic check,86.88,1131.66,3,152.3,0
CUST-000072,Female,0,No,Yes,18,Yes,Yes,DSL,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,94.04,1610.03,0,334.7,1
CUST-000073,Male,0,Yes,No,62,Yes,No,DSL,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,79.68,5152.23,0,118.6,0
CUST-000074,Female,0,Yes,Yes,26,Yes,Yes,DSL,Yes,No,No,Yes,Two year,Yes,Mailed check,66.18,1686.09,2,197.9,0
CUST-000075,Male,0,Yes,Yes,5,No,Yes,DSL,No,No,No,Yes,Month-to-month,No,Credit card,62.46,294.25,1,399.5,0
CUST-000076,Male,1,Yes,No,29,Yes,Yes,DSL,No,Yes,No internet service,No,Two year,Yes,Electronic check,103.94,3040.14,1,216.7,0
CUST-000077,Male,1,No,No,33,No,No,No,No internet service,No,No,Yes,One year,Yes,Credit card,77.21,2446.24,0,266.4,0
CUST-000078,Female,0,No,Yes,20,Yes,No phone service,DSL,No,Yes,No,Yes,Month-to-month,No,Electronic check,43.83,825.4,1,131.5,1
CUST-000079,Female,0,No,Yes,13,Yes,No,Fiber optic,No,No,No,No internet service,Month-to-month,No,Electronic check,67.1,851.28,0,157.2,0
CUST-000080,Male,1,Yes,Yes,72,No,No,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,115.4,7913.23,1,237.4,1
CUST-000081,Male,0,No,No,54,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Credit card,73.44,3879.59,1,275.5,1
CUST-000082,Male,0,No,No,57,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,103.18,5943.29,0,46.9,0
CUST-000083,Male,0,No,No,27,Yes,No,No,No,Yes,No,No,Two year,No,Mailed check,110.53,2812.59,4,205.3,0
CUST-000084,Male,0,No,Yes,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,One year,No,Mailed check,111.26,1764.75,0,145.8,0
CUST-000085,Male,0,No,No,21,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,72.27,1459.61,1,33.2,0
CUST-000086,Female,0,Yes,No,9,Yes,Yes,DSL,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,39.53,366.77,1,136.1,0
CUST-000087,Female,0,No,Yes,72,Yes,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card,126.1,8485.16,0,216.5,0
CUST-000088,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer,63.77,1755.31,1,193.7,1
CUST-000089,Male,0,Yes,No,72,Yes,No,DSL,No,No internet service,No,No,One year,Yes,Mailed check,53.4,3742.79,2,268.0,0
CUST-000090,Female,0,Yes,Yes,21,Yes,No,Fiber optic,No internet service,Yes,No,No,One year,No,Mailed check,106.18,1900.75,1,229.0,0
CUST-000091,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,Yes,Credit card,88.43,3427.23,1,97.5,0
CUST-000092,Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,112.21,3403.64,2,114.9,0
CUST-000093,Female,0,No,No,8,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,50.97,358.84,1,271.6,0
CUST-000094,Male,0,No,No,72,Yes,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card,63.69,4112.71,0,242.0,0
CUST-000095,Male,0,No,No,22,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,One year,No,Credit card,90.33,1972.34,0,259.6,0
CUST-000096,Female,0,Yes,No,11,Yes,No,No,No,No,No internet service,Yes,One year,No,Electronic check,90.43,970.36,1,153.1,1
CUST-000097,Female,0,No,No,48,Yes,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card,52.83,2427.57,3,326.4,0
CUST-000098,Female,0,Yes,Yes,30,Yes,No,No,No,No,No,Yes,Two year,Yes,Credit card,39.35,1120.32,0,180.7,0
CUST-000099,Female,0,No,No,39,No,Yes,DSL,Yes,No,Yes,Yes,Month-to-month,No,Credit card,76.41,2764.99,1,425.7,0
CUST-000100,Male,0,Yes,Yes,32,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,55.63,1828.66,0,195.1,0
CUST-000101,Female,0,No,Yes,3,Yes,No,No,No,No,No,No,One year,Yes,Electronic check,108.53,337.47,0,215.2,1
CUST-000102,Female,0,Yes,No,14,Yes,No,DSL,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,74.72,1049.13,2,308.6,1
CUST-000103,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Two year,Yes,Bank transfer,74.1,941.54,0,101.8,0
CUST-000104,Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,63.36,3730.17,3,184.5,0
CUST-000105,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,No internet service,Month-to-month,Yes,Credit card,76.01,2388.84,1,101.7,1
CUST-000106,Female,0,No,Yes,43,Yes,Yes,DSL,No,No,No,No internet service,Month-to-month,No,Bank transfer,23.14,870.53,2,192.0,0
CUST-000107,Female,0,Yes,Yes,23,Yes,Yes,DSL,No,No,No,No,Two year,No,Electronic check,84.84,1792.04,0,48.9,0
CUST-000108,Female,0,Yes,No,44,Yes,No,DSL,No internet service,Yes,Yes,Yes,One year,No,Electronic check,45.91,1849.57,2,305.3,0
CUST-000109,Female,0,Yes,Yes,27,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,106.99,2877.21,2,255.2,1
CUST-000110,Male,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,111.13,2652.53,4,157.3,1
CUST-000111,Male,0,Yes,Yes,34,Yes,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,98.98,3040.15,0,228.3,1
CUST-000112,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No internet service,No,No,No,Month-to-month,No,Mailed check,102.56,2940.99,0,224.2,0
CUST-000113,Female,0,Yes,Yes,72,No,Yes,Fiber optic,No,No internet service,Yes,No,One year,Yes,Bank transfer,128.76,8728.19,0,246.4,0
CUST-000114,Male,0,Yes,Yes,14,Yes,Yes,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,111.58,1535.91,1,98.0,1
CUST-000115,Female,1,Yes,No,7,Yes,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Credit card,77.75,517.96,0,232.3,1
CUST-000116,Male,0,No,No,38,Yes,Yes,DSL,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,79.56,2727.48,2,96.3,0
CUST-000117,Female,0,No,Yes,16,Yes,Yes,DSL,Yes,No,No,No internet service,One year,Yes,Credit card,53.28,830.25,1,273.7,1
CUST-000118,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,65.37,205.88,0,223.4,1
CUST-000119,Male,0,No,Yes,11,No,No phone service,No,No,No,Yes,Yes,One year,Yes,Credit card,108.46,1056.28,1,137.9,1
CUST-000120,Male,0,Yes,No,72,Yes,No,DSL,Yes,No,Yes,No internet service,One year,No,Mailed check,88.17,6067.04,3,311.1,0
CUST-000121,Female,0,Yes,No,14,Yes,No,DSL,Yes,No,Yes,No,Two year,Yes,Credit card,90.6,1173.5,0,307.9,0
CUST-000122,Male,0,No,Yes,5,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,77.28,345.31,1,122.6,1
CUST-000123,Male,0,No,Yes,72,Yes,No,DSL,No,No internet service,Yes,Yes,Two year,No,Bank transfer,118.72,8762.2,0,88.6,0
CUST-000124,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No internet service,Yes,Yes,One year,No,Bank transfer,88.14,1009.85,1,99.4,0
CUST-000125,Male,0,Yes,No,72,Yes,No,DSL,No internet service,No,No,Yes,Month-to-month,No,Credit card,45.94,3043.51,1,195.8,0
CUST-000126,Male,0,Yes,Yes,22,Yes,Yes,DSL,Yes,No,No,Yes,Two year,Yes,Credit card,52.79,1067.84,0,129.1,0
CUST-000127,Male,1,Yes,Yes,72,Yes,No,DSL,No internet service,No,No,No internet service,One year,No,Electronic check,117.14,7323.49,3,198.3,0
CUST-000128,Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Mailed check,61.67,1500.94,1,278.3,0
CUST-000129,Female,0,No,No,41,Yes,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Mailed check,47.47,1664.53,1,337.7,0
CUST-000130,Female,1,Yes,No,27,Yes,Yes,Fiber optic,No,No,No internet service,No,Month-to-month,No,Electronic check,181.96,4663.43,1,45.7,1
CUST-000131,Female,1,No,No,25,Yes,Yes,DSL,No,No,No,No,Two year,No,Electronic check,98.23,2162.47,0,0.0,0
CUST-000132,Male,0,No,Yes,36,Yes,No,Fiber optic,No,Yes,No internet service,No,Month-to-month,No,Credit card,73.01,2587.47,1,155.4,1
CUST-000133,Female,0,No,No,42,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Credit card,62.56,2721.39,0,72.0,0
CUST-000134,Male,0,Yes,No,34,Yes,No phone service,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,19.82,584.74,3,121.4,1
CUST-000135,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,97.91,3052.16,1,164.5,0
CUST-000136,Female,1,Yes,Yes,16,No,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,91.84,1493.13,0,253.2,0
CUST-000137,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,140.56,3484.12,0,187.3,0
CUST-000138,Male,0,Yes,Yes,72,Yes,No,DSL,No,Yes,No internet service,No,Two year,Yes,Credit card,18.0,1340.75,2,126.8,0
CUST-000139,Male,1,Yes,No,16,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Month-to-month,No,Electronic check,55.24,861.0,1,200.9,1
CUST-000140,Male,0,Yes,Yes,36,Yes,Yes,DSL,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,66.41,2288.05,0,175.2,1
CUST-000141,Female,1,Yes,No,67,Yes,No,No,No,No,No internet service,No,Month-to-month,No,Credit card,153.63,10131.43,0,150.9,0
CUST-000142,Male,0,No,No,43,Yes,Yes,DSL,No,No,Yes,No internet service,Month-to-month,No,Bank transfer,96.58,3769.18,1,90.6,0
CUST-000143,Male,0,No,No,57,Yes,No,Fiber optic,No,No,No internet service,No,One year,No,Credit card,106.18,5175.37,2,144.5,0
CUST-000144,Female,1,No,No,11,Yes,No,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,33.25,343.25,1,231.3,0
CUST-000145,Male,0,No,Yes,37,Yes,No phone service,DSL,Yes,No,No,No,Month-to-month,Yes,Credit card,18.0,665.11,1,232.8,1
CUST-000146,Female,0,Yes,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,No,Two year,Yes,Credit card,96.17,2385.82,2,84.9,0
CUST-000147,Male,0,No,No,25,Yes,Yes,DSL,Yes,No,Yes,No,One year,Yes,Mailed check,67.02,1568.28,2,149.2,0
CUST-000148,Female,0,No,No,72,Yes,No,DSL,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card,61.97,4027.56,3,95.4,0
CUST-000149,Male,0,Yes,No,25,No,No,DSL,Yes,No,Yes,No,One year,Yes,Credit card,58.59,1283.43,2,255.9,1
CUST-000150,Male,0,No,No,37,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card,72.55,2783.91,2,185.9,1
CUST-000151,Female,1,No,Yes,5,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Two year,Yes,Bank transfer,65.67,294.27,2,101.7,0
CUST-000152,Female,0,No,Yes,72,No,No,No,No,Yes,No internet service,No,One year,Yes,Credit card,111.69,8300.38,2,140.5,0
CUST-000153,Female,0,No,No,55,Yes,Yes,DSL,No,No,Yes,Yes,Month-to-month,No,Electronic check,43.4,2116.88,1,0.0,1
CUST-000154,Male,0,No,No,29,Yes,No,DSL,No,No,No,Yes,Month-to-month,No,Mailed check,61.72,1527.78,1,142.1,1
CUST-000155,Female,1,No,No,23,No,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card,68.83,1416.57,2,215.7,1
CUST-000156,Female,0,No,No,46,Yes,No,Fiber optic,No,No internet service,Yes,No,One year,Yes,Credit card,116.19,5069.73,1,220.0,0
CUST-000157,Male,1,Yes,Yes,67,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,69.45,4279.39,3,127.4,1
CUST-000158,Male,1,Yes,No,72,Yes,Yes,DSL,No internet service,No,No,Yes,One year,No,Electronic check,99.34,7378.25,3,173.2,1
CUST-000159,Male,0,Yes,Yes,54,Yes,No,DSL,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card,52.61,2724.51,1,223.4,0
CUST-000160,Male,0,No,No,32,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,65.14,1820.99,0,265.5,0
CUST-000161,Female,0,Yes,No,59,Yes,Yes,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,119.29,6862.79,0,158.0,1
CUST-000162,Female,0,Yes,No,52,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,65.92,3180.47,2,246.5,1
CUST-000163,Male,0,Yes,No,32,Yes,No,Fiber optic,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,116.63,3679.03,2,90.2,1
CUST-000164,Male,0,No,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Credit card,125.14,6428.23,3,222.5,0
CUST-000165,Female,0,No,No,50,Yes,No,No,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,79.3,4151.63,0,203.3,1
CUST-000166,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,No internet service,No,Month-to-month,Yes,Electronic check,91.47,2472.47,2,19.4,1
CUST-000167,Female,0,Yes,No,19,Yes,No,DSL,No,No internet service,Yes,No,One year,Yes,Electronic check,133.77,2346.83,1,169.9,0
CUST-000168,Male,0,No,Yes,47,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,94.58,4164.17,1,295.8,1
CUST-000169,Male,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,One year,Yes,Electronic check,101.12,1129.16,1,77.8,0
CUST-000170,Female,0,No,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,84.9,798.19,0,202.6,1
CUST-000171,Female,0,No,No,38,Yes,No,DSL,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,74.53,2424.42,0,245.4,0
CUST-000172,Male,0,No,No,46,Yes,No,Fiber optic,No internet service,No,No,No,Month-to-month,Yes,Electronic check,123.92,5127.39,2,266.0,1
CUST-000173,Male,0,No,No,38,Yes,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,61.74,2457.72,2,205.2,1
CUST-000174,Female,0,No,No,41,Yes,No phone service,No,No,No,Yes,Yes,One year,Yes,Bank transfer,18.0,764.27,0,140.1,0
CUST-000175,Female,0,No,No,46,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,110.41,4365.97,0,257.6,1
CUST-000176,Male,0,No,Yes,72,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,37.65,2835.27,3,176.7,0
CUST-000177,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,117.26,6384.97,3,67.8,1
CUST-000178,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,Yes,No,Two year,Yes,Bank transfer,94.96,4280.72,1,165.8,0
CUST-000179,Male,1,Yes,No,36,Yes,No,Fiber optic,No,No,Yes,No internet service,Month-to-month,Yes,Credit card,123.29,4583.67,0,21.2,1
CUST-000180,Male,0,No,No,37,Yes,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card,41.55,1602.02,2,191.6,1
CUST-000181,Male,1,No,No,27,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,Yes,Electronic check,53.94,1421.15,2,170.7,0
